project_id,project_name,ministry,sector,region,sanction_date,sanctioned_cost_cr,planned_completion_date,planned_duration_years,as_of_date,months_since_sanction,physical_progress_pct,financial_progress_pct,cumulative_expenditure_cr,revised_cost_cr,cost_revisions_count,project_stage,land_acquisition_status,approval_delay_months,financing_irregularity_flag,contractor_track_record_score,ministry_reporting_compliance_rate,months_since_last_report,consecutive_missed_cycles,is_completed,actual_completion_date,final_cost_overrun_pct,final_delay_months
PAI-00037,Roads Project 00037,Road Transport & Highways,Roads,East,2011-01-22,369.93,2013-11-17,2.82,2014-07-06,42,100.0,100.0,369.93,369.93,0,construction,complete,0.4,1,0.437,0.884,0,0,1,2014-07-06,0.0,7.6
PAI-00038,Power Project 00038,Power,Power,South,2016-08-01,2845.12,2021-01-13,4.45,2021-02-01,54,100.0,100.0,2849.47,2849.47,0,construction,complete,0.5,0,0.884,0.928,0,0,1,2021-02-01,0.15,0.6
PAI-00039,Mining Project 00039,Coal,Mining,Central,2008-01-10,211.9,2011-10-21,3.78,2011-10-21,45,100.0,100.0,212.47,212.47,0,construction,complete,2.7,0,0.762,0.896,0,0,1,2011-10-21,0.27,0.0
PAI-00040,Roads Project 00040,Road Transport & Highways,Roads,Central,2014-06-23,628.8,2017-11-24,3.42,2017-12-18,42,100.0,100.0,628.8,628.8,0,construction,complete,0.4,0,0.74,0.939,0,0,1,2017-12-18,0.0,0.8
PAI-00041,Urban Infrastructure Project 00041,Housing & Urban Affairs,Urban Infrastructure,South,2018-10-17,905.64,2023-08-07,4.81,2023-08-23,58,100.0,100.0,1052.24,1052.24,2,construction,partial,2.4,0,0.699,0.785,0,0,1,2023-08-23,16.19,0.5
PAI-00042,Roads Project 00042,Road Transport & Highways,Roads,North,2020-06-10,1239.32,2023-10-24,3.37,2024-03-21,45,100.0,100.0,1368.67,1368.67,0,construction,partial,1.2,0,0.906,0.928,0,0,1,2024-03-21,10.44,4.9
PAI-00043,Roads Project 00043,Road Transport & Highways,Roads,East,2023-03-23,546.66,2026-09-30,3.53,2026-09-06,42,71.2,67.6,440.16,651.44,0,construction,complete,1.8,1,0.762,0.901,6,6,0,,19.17,0.6
PAI-00044,Power Project 00044,New & Renewable Energy,Power,North-East,2024-03-10,4467.57,2030-02-05,5.91,2026-09-06,30,30.8,28.8,1302.85,4531.06,1,construction,complete,3.9,0,0.412,0.825,0,0,0,,1.42,0.8
PAI-00045,Petroleum Project 00045,Petroleum & Natural Gas,Petroleum,North,2025-09-05,4616.58,2030-07-11,4.85,2026-09-06,12,1.0,0.0,0.0,4666.85,0,pre_construction,partial,10.5,0,0.594,0.887,0,0,0,,1.09,0.1
PAI-00046,Power Project 00046,Power,Power,Central,2022-11-22,1135.37,2029-02-28,6.27,2026-09-06,46,39.9,29.2,356.87,1223.4,0,construction,complete,1.4,0,0.432,0.862,0,0,0,,7.75,0.9
PAI-00047,Roads Project 00047,Road Transport & Highways,Roads,East,2024-07-14,525.8,2027-03-11,2.66,2026-09-06,26,37.9,27.0,192.45,713.91,0,construction,complete,0.2,0,0.491,0.965,0,0,0,,35.78,4.3
PAI-00048,Roads Project 00048,Road Transport & Highways,Roads,North,2006-06-05,2955.13,2010-05-11,3.93,2017-11-21,137,100.0,100.0,3123.27,3123.27,0,construction,complete,2.0,0,0.455,0.973,0,0,1,2017-11-21,5.69,90.4
PAI-00049,Power Project 00049,Atomic Energy,Power,East,2009-01-21,3144.68,2014-10-30,5.77,2018-11-28,118,100.0,100.0,4434.26,4434.26,0,construction,complete,4.0,0,0.571,0.912,0,0,1,2018-11-28,41.01,48.9
PAI-00050,Urban Infrastructure Project 00050,Housing & Urban Affairs,Urban Infrastructure,South,2014-09-06,150.0,2019-12-22,5.29,2020-01-09,64,100.0,100.0,150.0,150.0,2,construction,complete,2.1,0,0.495,0.805,0,0,1,2020-01-09,0.0,0.6
PAI-00051,Power Project 00051,Power,Power,South,2023-06-12,2104.77,2028-06-06,4.99,2026-09-06,39,14.3,9.9,207.88,2104.77,1,pre_construction,complete,21.1,0,0.47,0.934,1,1,0,,0.0,0.8
PAI-00052,Steel Project 00052,Steel,Steel,East,2023-02-18,794.99,2028-06-30,5.36,2026-09-06,43,61.1,56.9,458.15,805.64,1,construction,complete,0.2,0,0.579,0.733,0,0,0,,1.34,0.6
PAI-00053,Petroleum Project 00053,Petroleum & Natural Gas,Petroleum,North,2017-01-13,321.18,2020-02-27,3.12,2020-03-11,38,100.0,100.0,324.05,324.05,0,construction,complete,5.6,0,0.255,0.843,0,0,1,2020-03-11,0.9,0.4
PAI-00054,Roads Project 00054,Road Transport & Highways,Roads,South,2009-06-02,177.22,2012-05-16,2.96,2012-06-07,36,100.0,100.0,178.58,178.58,2,construction,complete,3.9,0,0.567,0.856,0,0,1,2012-06-07,0.77,0.7
PAI-00055,Roads Project 00055,Road Transport & Highways,Roads,North,2022-04-14,790.7,2025-08-18,3.35,2026-03-08,47,100.0,100.0,794.01,794.01,0,construction,complete,1.6,0,0.598,0.929,0,0,1,2026-03-08,0.42,6.6
PAI-00056,Roads Project 00056,Road Transport & Highways,Roads,Central,2009-04-11,223.3,2011-11-01,2.56,2011-11-30,31,100.0,100.0,224.47,224.47,0,construction,complete,0.5,0,0.503,0.907,0,0,1,2011-11-30,0.52,0.9
PAI-00057,Roads Project 00057,Road Transport & Highways,Roads,West,2024-08-13,655.4,2027-07-16,2.92,2026-09-06,25,63.7,49.0,393.95,804.13,0,construction,complete,3.3,0,0.664,0.932,0,0,0,,22.69,20.2
PAI-00058,Roads Project 00058,Road Transport & Highways,Roads,North-East,2016-10-16,266.51,2020-02-10,3.32,2022-09-08,71,100.0,100.0,267.71,267.71,0,construction,partial,2.5,0,0.755,0.99,0,0,1,2022-09-08,0.45,30.9
PAI-00059,Roads Project 00059,Road Transport & Highways,Roads,East,2012-05-28,1220.49,2015-02-22,2.74,2016-04-12,47,100.0,100.0,1501.83,1501.83,1,construction,complete,0.2,0,0.525,0.845,0,0,1,2016-04-12,23.05,13.6
PAI-00060,Power Project 00060,Power,Power,South,2018-10-18,509.57,2022-11-10,4.07,2022-11-17,49,100.0,100.0,510.17,510.17,1,construction,complete,3.9,0,0.318,0.894,0,0,1,2022-11-17,0.12,0.2
PAI-00061,Mining Project 00061,Coal,Mining,North,2024-01-22,322.97,2027-07-08,3.46,2026-09-06,32,62.3,51.4,166.07,322.97,0,construction,complete,5.2,1,0.905,0.844,2,2,0,,0.0,0.2
PAI-00062,Fertilizers Project 00062,Fertilizers,Fertilizers,East,2008-01-09,630.74,2012-05-24,4.37,2012-06-13,53,100.0,100.0,1093.38,1093.38,1,construction,complete,4.2,0,0.811,0.821,0,0,1,2012-06-13,73.35,0.7
PAI-00063,Water Resources Project 00063,Jal Shakti (Water Resources),Water Resources,North-East,2010-10-13,749.85,2016-04-01,5.47,2017-05-20,79,100.0,100.0,906.08,906.08,0,construction,complete,0.8,1,0.384,0.771,0,0,1,2017-05-20,20.83,13.6
PAI-00064,Mining Project 00064,Coal,Mining,North,2026-12-09,569.39,2030-02-13,3.18,2026-09-06,1,3.4,0.0,0.0,645.13,0,pre_construction,not_started,13.4,0,0.622,0.881,0,0,0,,13.3,19.5
PAI-00065,Telecom Project 00065,Telecommunications,Telecom,West,2009-01-04,3498.92,2012-01-27,3.06,2016-04-21,87,100.0,100.0,3498.92,3498.92,0,construction,complete,2.3,0,0.85,0.955,0,0,1,2016-04-21,0.0,50.8
PAI-00066,Rural Infrastructure Project 00066,Development of North Eastern Region,Rural Infrastructure,Central,2017-08-15,379.44,2020-03-25,2.61,2020-04-02,32,100.0,100.0,380.96,380.96,0,construction,complete,4.3,0,0.563,0.713,0,0,1,2020-04-02,0.4,0.3
PAI-00067,Railways Project 00067,Railways,Railways,South,2020-11-11,6451.87,2025-05-23,4.53,2025-06-18,55,100.0,100.0,6495.17,6495.17,0,construction,partial,1.0,0,0.645,0.862,0,0,1,2025-06-18,0.67,0.8
PAI-00068,Steel Project 00068,Steel,Steel,Central,2006-04-07,1109.45,2011-04-29,5.06,2011-05-11,61,100.0,100.0,1112.47,1112.47,0,construction,complete,0.1,0,0.514,0.868,0,0,1,2011-05-11,0.27,0.4
PAI-00069,Petroleum Project 00069,Petroleum & Natural Gas,Petroleum,North,2015-12-10,2243.58,2020-11-01,4.9,2020-11-17,59,100.0,100.0,2251.53,2251.53,0,construction,complete,3.2,0,0.815,0.836,0,0,1,2020-11-17,0.35,0.5
PAI-00070,Mining Project 00070,Mines,Mining,North-East,2020-12-05,894.19,2025-12-22,5.05,2026-01-02,61,100.0,100.0,936.47,936.47,0,construction,complete,2.0,1,0.758,0.716,0,0,1,2026-01-02,4.73,0.4
PAI-00071,Power Project 00071,Power,Power,East,2015-09-09,3929.5,2021-09-14,6.02,2021-10-06,73,100.0,100.0,3929.5,3929.5,1,construction,complete,1.3,0,0.198,0.859,0,0,1,2021-10-06,0.0,0.7
PAI-00072,Power Project 00072,Power,Power,Central,2013-01-03,1427.51,2017-09-20,4.71,2018-12-24,71,100.0,100.0,1569.19,1569.19,0,construction,complete,0.4,0,0.465,0.799,0,0,1,2018-12-24,9.93,15.1
PAI-00073,Roads Project 00073,Road Transport & Highways,Roads,North,2014-10-08,252.97,2017-09-29,2.98,2017-10-10,36,100.0,100.0,254.03,254.03,1,construction,complete,0.7,0,0.849,0.872,0,0,1,2017-10-10,0.42,0.4
PAI-00074,Railways Project 00074,Railways,Railways,North,2022-08-09,1017.5,2029-03-11,6.59,2026-09-06,49,46.0,37.6,383.27,1018.42,0,construction,complete,2.6,0,0.747,0.855,0,0,0,,0.09,0.7
PAI-00075,Ports & Shipping Project 00075,Shipping (Ports),Ports & Shipping,East,2009-04-02,351.74,2013-05-18,4.13,2013-06-16,50,100.0,100.0,357.73,357.73,0,construction,complete,0.0,1,0.379,0.852,0,0,1,2013-06-16,1.7,1.0
PAI-00076,Roads Project 00076,Road Transport & Highways,Roads,Central,2020-02-17,1277.99,2023-12-25,3.85,2024-07-12,53,100.0,100.0,1279.02,1279.02,0,construction,complete,2.4,0,0.809,0.847,0,0,1,2024-07-12,0.08,6.6
PAI-00077,Steel Project 00077,Steel,Steel,West,2025-09-01,656.61,2029-05-28,3.74,2026-09-06,12,15.9,8.6,56.26,656.61,0,construction,complete,1.6,0,0.836,0.78,0,0,0,,0.0,0.6
PAI-00078,Roads Project 00078,Road Transport & Highways,Roads,Central,2016-01-18,1612.45,2018-12-14,2.91,2018-12-15,35,100.0,100.0,1612.45,1612.45,0,construction,complete,0.2,0,0.592,0.957,0,0,1,2018-12-15,0.0,0.0
PAI-00079,Roads Project 00079,Road Transport & Highways,Roads,South,2021-05-19,385.09,2023-12-20,2.59,2024-01-11,32,100.0,100.0,386.27,386.27,0,construction,complete,0.6,0,0.823,0.914,0,0,1,2024-01-11,0.31,0.7
PAI-00080,Roads Project 00080,Road Transport & Highways,Roads,North-East,2014-07-04,1251.47,2018-02-27,3.65,2018-03-11,44,100.0,100.0,1255.0,1255.0,0,construction,complete,2.5,0,0.556,0.874,0,0,1,2018-03-11,0.28,0.4
PAI-00081,Roads Project 00081,Road Transport & Highways,Roads,East,2025-08-07,1298.66,2028-10-29,3.23,2026-09-06,13,17.6,13.0,169.51,1304.06,0,construction,complete,5.5,0,0.502,0.926,0,0,0,,0.42,0.3
PAI-00082,Railways Project 00082,Railways,Railways,North-East,2019-05-25,5543.48,2024-02-08,4.71,2024-02-18,57,100.0,100.0,5574.88,5574.88,0,construction,complete,3.9,0,0.499,0.9,0,0,1,2024-02-18,0.57,0.3
PAI-00083,Roads Project 00083,Road Transport & Highways,Roads,Central,2016-10-19,191.62,2020-03-23,3.43,2020-03-29,41,100.0,100.0,261.33,261.33,2,construction,complete,0.6,1,0.657,0.833,0,0,1,2020-03-29,36.38,0.2
PAI-00084,Power Project 00084,Power,Power,South,2024-08-23,6634.45,2029-09-06,5.04,2026-09-06,25,13.7,9.8,652.44,6634.45,1,pre_construction,complete,6.5,1,0.675,0.829,2,2,0,,0.0,0.5
PAI-00085,Railways Project 00085,Railways,Railways,North-East,2018-01-02,1852.42,2023-10-12,5.78,2026-09-06,104,89.6,80.7,1503.34,1861.77,0,construction,complete,0.4,1,0.677,0.884,0,0,0,,0.51,51.9
PAI-00086,Petroleum Project 00086,Petroleum & Natural Gas,Petroleum,East,2019-07-08,1896.12,2024-05-16,4.86,2024-08-06,61,100.0,100.0,1909.56,1909.56,1,construction,complete,0.5,0,0.768,0.912,0,0,1,2024-08-06,0.71,2.7
PAI-00087,Power Project 00087,Power,Power,North-East,2016-10-08,1395.6,2021-07-17,4.77,2021-08-06,58,100.0,100.0,1395.6,1395.6,1,construction,complete,1.3,0,0.619,0.882,0,0,1,2021-08-06,0.0,0.7
PAI-00088,Roads Project 00088,Road Transport & Highways,Roads,North,2016-07-19,1801.79,2020-05-04,3.79,2020-06-01,47,100.0,100.0,1818.52,1818.52,0,construction,complete,1.7,0,0.557,0.969,0,0,1,2020-06-01,0.93,0.9
PAI-00089,Ports & Shipping Project 00089,Shipping (Ports),Ports & Shipping,South,2024-09-13,348.68,2028-10-26,4.12,2026-09-06,24,11.7,5.6,19.81,351.15,1,pre_construction,not_started,9.7,1,0.767,0.84,0,0,0,,0.71,79.4
PAI-00090,Roads Project 00090,Road Transport & Highways,Roads,North-East,2025-02-12,372.42,2028-07-27,3.45,2026-09-06,19,47.5,37.2,139.35,374.29,0,construction,complete,1.1,1,0.891,0.919,0,0,0,,0.5,0.2
PAI-00091,Power Project 00091,Power,Power,North,2017-12-06,1094.19,2023-11-22,5.96,2023-12-07,72,100.0,100.0,1106.67,1106.67,0,construction,complete,1.9,0,0.615,0.75,0,0,1,2023-12-07,1.14,0.5
PAI-00092,Railways Project 00092,Railways,Railways,East,2016-02-11,4717.57,2022-05-26,6.29,2024-05-01,99,100.0,100.0,4722.44,4722.44,0,construction,partial,7.5,0,0.25,0.98,0,0,1,2024-05-01,0.1,23.2
PAI-00093,Telecom Project 00093,Telecommunications,Telecom,East,2017-02-04,1219.66,2020-01-12,2.94,2023-08-29,78,100.0,100.0,1229.35,1229.35,0,construction,partial,1.6,0,0.627,0.874,0,0,1,2023-08-29,0.8,43.5
PAI-00094,Roads Project 00094,Road Transport & Highways,Roads,West,2022-02-16,857.96,2025-01-14,2.91,2026-09-06,55,24.4,15.9,136.32,858.31,0,construction,complete,6.8,0,0.36,0.92,0,0,0,,0.04,65.1
PAI-00095,Steel Project 00095,Steel,Steel,North-East,2025-06-02,1484.68,2030-12-02,5.5,2026-09-06,15,15.9,12.9,191.22,1485.52,0,construction,complete,1.0,0,0.683,0.829,0,0,0,,0.06,38.2
PAI-00096,Roads Project 00096,Road Transport & Highways,Roads,South,2013-08-27,150.0,2017-05-21,3.73,2017-06-13,46,100.0,100.0,150.39,150.39,0,construction,complete,3.9,1,0.831,0.927,0,0,1,2017-06-13,0.26,0.8
PAI-00097,Roads Project 00097,Road Transport & Highways,Roads,South,2019-07-15,584.44,2022-07-24,3.03,2022-08-19,37,100.0,100.0,588.31,588.31,1,construction,complete,1.3,0,0.615,0.862,0,0,1,2022-08-19,0.66,0.9
PAI-00098,Roads Project 00098,Road Transport & Highways,Roads,East,2010-07-23,210.93,2013-04-18,2.74,2013-04-22,33,100.0,100.0,212.43,212.43,1,construction,complete,1.9,1,0.381,0.908,0,0,1,2013-04-22,0.71,0.1
PAI-00099,Power Project 00099,Atomic Energy,Power,South,2006-02-03,6332.47,2011-07-02,5.41,2011-07-25,65,100.0,100.0,6422.44,6422.44,0,construction,complete,0.2,0,0.622,0.902,0,0,1,2011-07-25,1.42,0.7
PAI-00100,Roads Project 00100,Road Transport & Highways,Roads,South,2008-06-15,203.69,2011-10-10,3.32,2011-10-17,40,100.0,100.0,203.91,203.91,0,construction,complete,8.6,0,0.455,0.99,0,0,1,2011-10-17,0.11,0.2
PAI-00101,Roads Project 00101,Road Transport & Highways,Roads,South,2025-11-22,920.88,2029-01-06,3.12,2026-09-06,10,22.0,16.5,153.57,932.58,1,construction,complete,0.6,0,0.641,0.963,0,0,0,,1.27,1.0
PAI-00102,Roads Project 00102,Road Transport & Highways,Roads,East,2022-05-17,309.49,2026-02-06,3.73,2026-02-27,45,100.0,100.0,314.77,314.77,0,construction,complete,1.4,0,0.896,0.866,0,0,1,2026-02-27,1.71,0.7
PAI-00103,Roads Project 00103,Road Transport & Highways,Roads,East,2006-01-15,1273.05,2009-08-22,3.6,2009-08-27,43,100.0,100.0,1284.95,1284.95,0,construction,complete,3.0,0,0.664,0.899,0,0,1,2009-08-27,0.93,0.2
PAI-00104,Roads Project 00104,Road Transport & Highways,Roads,East,2026-12-08,173.81,2030-01-21,3.12,2026-09-06,1,5.5,1.4,2.4,174.39,0,pre_construction,partial,14.3,0,0.9,0.958,2,2,0,,0.33,25.1
PAI-00105,Roads Project 00105,Road Transport & Highways,Roads,Central,2020-03-01,1497.69,2023-12-24,3.82,2024-01-20,46,100.0,100.0,1507.69,1507.69,1,construction,complete,2.2,0,0.931,0.872,0,0,1,2024-01-20,0.67,0.9
PAI-00106,Telecom Project 00106,Telecommunications,Telecom,West,2023-11-10,841.89,2027-03-05,3.32,2026-09-06,34,50.9,36.7,309.06,841.89,0,construction,complete,0.4,0,0.903,0.853,4,4,0,,0.0,32.2
PAI-00107,Telecom Project 00107,Telecommunications,Telecom,North,2006-08-05,362.61,2010-01-16,3.45,2011-10-18,62,100.0,100.0,363.12,363.12,1,construction,complete,0.1,0,0.941,0.876,0,0,1,2011-10-18,0.14,21.0
PAI-00108,Urban Infrastructure Project 00108,Housing & Urban Affairs,Urban Infrastructure,East,2006-04-25,3398.01,2011-01-05,4.7,2016-04-09,120,100.0,100.0,3958.5,3958.5,3,construction,complete,1.8,0,0.498,0.879,0,0,1,2016-04-09,16.49,63.1
PAI-00109,Power Project 00109,Atomic Energy,Power,Central,2018-09-21,1439.49,2023-07-23,4.84,2023-07-28,58,100.0,100.0,1451.46,1451.46,0,construction,complete,1.0,1,0.614,0.946,0,0,1,2023-07-28,0.83,0.2
PAI-00110,Railways Project 00110,Railways,Railways,South,2010-03-22,1036.86,2014-03-29,4.02,2019-01-19,106,100.0,100.0,1044.27,1044.27,1,construction,complete,2.7,0,0.889,0.901,0,0,1,2019-01-19,0.71,57.7
PAI-00111,Roads Project 00111,Road Transport & Highways,Roads,West,2025-07-18,2152.76,2028-01-31,2.54,2026-09-06,14,41.6,32.5,704.27,2168.78,0,construction,complete,1.4,0,0.66,0.99,0,0,0,,0.74,1.3
